date,margin_balance,short_balance,margin_amount,date_obj,trade_value,twii,margin_ratio_pct,margin_amount_change
20260622,9462366,202267,605041591,2026-06-22,1515817959773,47741.51,39.91518817276763,0.0
20260623,9300664,204255,593929137,2026-06-23,1672355337665,47100.65,35.51452993412658,-111.12454
20260624,9469030,202194,607456271,2026-06-24,1539046268153,46043.6,39.46965621306529,135.27134
20260625,9512447,199161,611000560,2026-06-25,1368076901597,46255.26,44.66127300934322,35.44289
20260626,9328374,203932,590925882,2026-06-26,1672832488417,44571.76,35.32486881332587,-200.74678
20260629,9386112,205287,594229687,2026-06-29,1045439448015,44999.9,56.840182195944266,33.03805
20260630,9435456,194887,611652207,2026-06-30,1266062228020,46125.91,48.31138576470806,174.2252
20260701,9414925,196392,609502407,2026-07-01,1367817795171,47018.99,44.56020452079307,-21.498
20260702,9529998,200271,620837289,2026-07-02,1083583417368,46744.16,57.29483111766327,113.34882
20260703,9618551,200370,630812485,2026-07-03,1078028137102,46780.62,58.515400784971746,99.75196
20260706,9579335,209010,631344856,2026-07-06,1064431906064,46556.39,59.312845885515934,5.32371
20260707,9531735,213844,610945256,2026-07-07,1228119421876,45479.11,49.746404552967455,-203.996
20260708,9590605,205830,613815725,2026-07-08,1004560446696,45734.41,61.10291590902671,28.70469
20260709,9614955,203714,619648244,2026-07-09,996789429935,45354.61,62.16440758610441,58.32519
20260713,9602554,203238,618299040,2026-07-13,1067662107060,45380.52,57.911490527897236,-13.49204
20260714,9465644,180712,604034106,2026-07-14,1245206538568,44737.95,48.5087483313929,-142.64934
20260715,9519727,173131,615368175,2026-07-15,1024385500649,45631.59,60.071933330775686,113.34069
20260716,9513579,176622,615575992,2026-07-16,933180942503,45624.98,65.96534112118573,2.07817
20260717,9348875,236300,587962513,2026-07-17,1333156652944,42671.27,44.10303258072536,-276.13479
20260720,9270939,210862,569035788,2026-07-20,1041457434398,42449.7,54.6384104818382,-189.26725
