date,margin_balance,short_balance,margin_amount,date_obj,trade_value,twii,margin_ratio_pct,margin_amount_change
20260610,9041627,219750,546811625,2026-06-10,1424069567256,43225.54,38.39781690255737,0.0
20260611,9073020,224344,549176982,2026-06-11,1338516691099,43149.46,41.028773541037715,23.65357
20260612,9088829,224946,557027949,2026-06-12,1169186958350,44169.04,47.64233341997746,78.50967
20260615,9195123,205177,571907094,2026-06-15,1115744351199,45396.99,51.25789732974385,148.79145
20260616,9180710,194525,571307649,2026-06-16,1262185518120,45809.19,45.263365868034306,-5.99445
20260617,9306162,191375,583911936,2026-06-17,1154595951473,45877.39,50.572837645503796,126.04287
20260618,9345247,204357,593046547,2026-06-18,1606195402305,46465.2,36.92244082811703,91.34611
20260622,9462366,202267,605041591,2026-06-22,1515817959773,47741.51,39.91518817276763,119.95044
20260623,9300664,204255,593929137,2026-06-23,1672355337665,47100.65,35.51452993412658,-111.12454
20260624,9469030,202194,607456271,2026-06-24,1539046268153,46043.6,39.46965621306529,135.27134
20260625,9512447,199161,611000560,2026-06-25,1368076901597,46255.26,44.66127300934322,35.44289
20260626,9328374,203932,590925882,2026-06-26,1672832488417,44571.76,35.32486881332587,-200.74678
20260629,9386112,205287,594229687,2026-06-29,1045439448015,44999.9,56.840182195944266,33.03805
20260630,9435456,194887,611652207,2026-06-30,1266062228020,46125.91,48.31138576470806,174.2252
20260701,9414925,196392,609502407,2026-07-01,1367817795171,47018.99,44.56020452079307,-21.498
20260702,9529998,200271,620837289,2026-07-02,1083583417368,46744.16,57.29483111766327,113.34882
20260703,9618551,200370,630812485,2026-07-03,1078028137102,46780.62,58.515400784971746,99.75196
20260706,9579335,209010,631344856,2026-07-06,1064431906064,46556.39,59.312845885515934,5.32371
20260707,9531735,213844,610945256,2026-07-07,1228119421876,45479.11,49.746404552967455,-203.996
20260708,9590605,205830,613815725,2026-07-08,1004560446696,45734.41,61.10291590902671,28.70469
20260709,9614955,203714,619648244,2026-07-09,996789429935,45354.61,62.16440758610441,58.32519
20260713,9602554,203238,618299040,2026-07-13,1067662107060,45380.52,57.911490527897236,-13.49204
20260714,9465644,180712,604034106,2026-07-14,1245206538568,44737.95,48.5087483313929,-142.64934
20260715,9519727,173131,615368175,2026-07-15,1024385500649,45631.59,60.071933330775686,113.34069
20260716,9513579,176622,615575992,2026-07-16,933180942503,45624.98,65.96534112118573,2.07817
20260717,9348875,236300,587962513,2026-07-17,1333156652944,42671.27,44.10303258072536,-276.13479
20260720,9270939,210862,569035788,2026-07-20,1041457434398,42449.7,54.6384104818382,-189.26725
20260721,9359440,212614,576496237,2026-07-21,866251695004,44232.87,66.55066192942202,74.60449
20260722,9354572,206549,582823505,2026-07-22,1025958396323,44825.78,56.80771336233707,63.27268
20260723,9349915,208647,582626351,2026-07-23,930612067733,44850.81,62.606790863919905,-1.97154
20260724,9354810,204754,577059537,2026-07-24,827129512226,43654.84,69.76652730562076,-55.66814
20260727,9272006,186233,568663454,2026-07-27,747647200740,43634.19,76.06040033817462,-83.96083
20260728,9096008,219259,545534811,2026-07-28,872574999972,41603.36,62.520105551672415,-231.28643
20260729,8764868,217485,507011173,2026-07-29,1149185294964,40039.18,44.119183844575986,-385.23638
20260730,8701432,204214,493867294,2026-07-30,1146937829185,39933.3,43.059639453250576,-131.43879
20260731,9144379,188324,507462771,2026-07-31,887732405136,43119.75,57.16393454424558,135.95477
20260803,9120700,185322,514755393,2026-08-03,885506043091,43386.41,58.131211753582654,72.92622
20260804,9032013,196970,521134665,2026-08-04,1087045875836,43360.66,47.94044819858388,63.79272
20260805,8901190,197222,523492321,2026-08-05,1200212510521,44611.6,43.61663592164669,23.57656
20260806,8958262,191897,532804981,2026-08-06,974054973424,44396.7,54.69968282458257,93.1266
20260807,8986438,192740,537664510,2026-08-07,850815189087,44225.91,63.1940422428238,48.59529
20260810,9003223,202632,545295561,2026-08-10,880440723750,44928.76,61.93438652831283,76.31051
20260811,8970583,204819,544151977,2026-08-11,902052207533,45120.72,60.32377865225646,-11.43584
20260812,8961034,201947,548083912,2026-08-12,892659784922,45518.07,61.398969826773495,39.31935
20260813,8969841,214046,549780654,2026-08-13,1104024642159,46021.48,49.79786075470781,16.96742
20260814,8918284,222827,547059318,2026-08-14,1109746702006,45811.01,49.29587238341189,-27.21336
20260817,8867617,218218,550101672,2026-08-17,981055134845,45857.27,56.07245224672437,30.42354
20260818,8815336,204455,547011379,2026-08-18,1007881760816,45308.68,54.27336819322232,-30.90293
20260819,8828365,188334,548190238,2026-08-19,890269743542,44719.35,61.57574622484497,11.78859
